Web ID,Reported Date,Number Dead,Minimum Estimated Number of Missing,Total Dead and Missing,Number of Survivors,Route,Supra Route,lat,lon
40856.0,2015-06-26,1.0,,1,,Other,Other,46.227638,2.213749
40669.0,2015-06-18,1.0,,1,,Other,Other,51.47115,-0.456487
41067.0,2015-05-31,1.0,,1,,Other,Other,49.6107,1.40625
40286.0,2015-05-12,1.0,,1,,Other,Other,45.732148,4.999428
40863.0,2015-04-24,1.0,,1,,Other,Other,41.9973462,21.4279956
40862.0,2015-04-23,14.0,,14,36.0,Other,Other,41.7164563,21.7722966
41096.0,2015-02-14,1.0,,1,,Other,Other,50.9513,1.85869
40284.0,2015-01-08,1.0,,1,,Other,Other,42.2065073,21.2014347
40633.0,2015-01-03,1.0,,1,,Other,Other,41.1689113,21.5287356
39371.0,2014-12-31,1.0,,1,,Other,Other,51.1208,1.0437
39439.0,2014-12-29,1.0,,1,,Other,Other,50.8476,1.75781
39378.0,2014-11-28,4.0,,4,,Other,Other,43.7871261,22.3723774
39438.0,2014-11-19,2.0,,2,,Other,Other,50.9966,2.2574
39370.0,2014-10-19,1.0,0.0,1,0.0,Other,Other,50.9513,1.85869
39253.0,2014-10-11,1.0,0.0,1,0.0,Other,Other,50.951314,1.85869
51962.0,2014-10-07,1.0,,1,,Other,Other,51.005343743724005,1.826413661133
51961.0,2014-10-07,1.0,,1,,Other,Other,50.981587301914,1.810620814453
39375.0,2014-08-21,1.0,0.0,1,34.0,Other,Other,51.4616,0.345211
39243.0,2014-07-24,1.0,,1,,Other,Other,50.9584,0.175781
39369.0,2014-05-23,1.0,0.0,1,0.0,Other,Other,50.9513,1.85869
39238.0,2014-05-02,1.0,0.0,1,0.0,Other,Other,50.9513,1.85869
39234.0,2014-03-15,1.0,0.0,1,0.0,Other,Other,50.9688,1.87368
39233.0,2014-03-14,1.0,0.0,1,0.0,Other,Other,50.950273,1.848663
39232.0,2014-03-12,1.0,0.0,1,0.0,Other,Other,50.9686,1.8675
39227.0,2014-03-09,1.0,0.0,1,0.0,Other,Other,50.9365,1.85566
39373.0,2014-01-30,1.0,0.0,1,2.0,Other,Other,50.9355,1.87866
39368.0,2014-01-16,1.0,0.0,1,2.0,Other,Other,59.1551,27.8586
52759.0,2019-12-30,1.0,,1,,Central Mediterranean 3,Central Mediterranean,32.845847906405,12.564471287134
52673.0,2019-12-30,1.0,,1,11.0,Other,Other,35.568972356329006,-1.289773129748
52666.0,2019-12-30,1.0,,1,,Strait + goulf of Cadix route,Western Mediterranean,35.912383552874,-5.3576733388980005
52822.0,2019-12-30,,45.0,45,,Central Mediterranean 3,Central Mediterranean,33.236144031382,12.590751031285
52782.0,2019-12-24,1.0,,1,,Strait + goulf of Cadix route,Western Mediterranean,35.888792367704,-5.2927095587120006
52781.0,2019-12-19,1.0,,1,7.0,Alboran route,Western Mediterranean,35.179670616173,-2.429624658968
